DNABANK;GENUS;SPECIES;LOCALIDAD;y;x;ISLA;ZONA;COLLECTOR(S);LEGIT;FECHA;LPA_CODE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8723-8726;Dorycnium ;spectabile;Barranco del Agua. Güímar;28.30861111;-16.45055556;T;CANARIAS;Á. Marrero.  R. Mesa & J. Caujapé  ;Á. Marrero.  R. Mesa & J. Caujapé  ;27/02/2012;LPA: 31001-31002. 31010-31011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8768-8799//20707-20709;Dorycnium ;spectabile;Camino de las Moradas. Los Silos;28.34527778;-16.81722222;T;CANARIAS;Á. Marrero & R. Jaén;Á. Marrero & R. Jaén;15/05/2018;LPA: 35830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7956/7806;Dorycnium;broussonetii ;Degollada de Güi Güi. Aldea de San Nicolás;27.96166667;-15.80583333;C;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero & J. Caujapé ;31/01/2012;LPA: 30521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17028-17053;Dorycnium;broussonetii ;Barranco de Carpinteras. Valleseco;28.05944444;-15.57972222;C;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero &  C. Santiago                                                            ;08/03/2018;LPA: 35448-35449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8740-8754;Dorycnium ;broussonetii;Barranco de Herques. Fasnia-Güímar;28.24388889;-16.425;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;Á. Marrero. J. Caujapé & R. Mesa;27/02/2012;LPA: 35765-35766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8755-8763;Dorycnium ;broussonetti;Bco. Seco. Canal de Bejía. Los Batanes. Anaga;28.55444444;-16.30805556;T;CANARIAS;Á. Marrero & R. Jaén;Á. Marrero & R. Jaén;14/05/2018;LPA: 35820-35823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8805-8815;Dorycnium ;broussonetii ;Barranco La Hoya (o Flandes). Punta Hidalgo;28.55222222;-16.32305556;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;R. Mesa                                                                ;01/07/2001;LPA: 29685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8889-8895;Dorycnium ;broussonetii ;Barranco Las Vigas. Araya. Arafo-Güímar;28.36611111;-16.39416667;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;Á. Marrero. J. Caujapé & R. Mesa;28/02/2012;LPA: 30711-30712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8907-8915;Dorycnium ;broussonetii ;Barranco de Pina (o de Blas). Los Silos;28.35277778;-16.82527778;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;Á. Marrero. J. Caujapé & R. Mesa;29/02/2012;LPA: 35713-35716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8937-8941;Dorycnium ;broussonetii ;Cuevas Negras. Teno;28.33944444;-16.80916667;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;Á. Marrero. J. Caujapé & R. Mesa;29/02/2012;LPA: 35732-35733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20668-20679;Dorycnium ;broussonetii ;Barranquillo al N de Chimaje. El Escobonal- Güimar;28.24861111;-16.41055556;T;CANARIAS;Á. Marrero &. R. Jaén & R. Mesa;Á. Marrero &. R. Jaén & R. Mesa;14/05/2018;LPA: 35824-35829;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19930-19934;Dorycnium ;broussonetii ;Las Carboneras. Anaga;28.55111111;-16.275;T;CANARIAS;A. Santos;A. Santos;12/05/2016;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8223-8828;Dorycnium ;eriophthalmum;Barranco del Infierno. Adeje;28.13361111;-16.71;T;CANARIAS;Á. Marrero. J. Caujapé & R. Mesa;Á. Marrero. J. Caujapé & R. Mesa;29/02/2012;LPA: 30642-30643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10932-10940;Dorycnium;eriophthalmum;Barranco de Masca.Teno;28.29611111;-16.85055556;T;CANARIAS;Á. Marrero & R. Jaén;Á. Marrero & R. Jaén;12/05/2017;LPA: 34560-34561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15774-15783;Dorycnium;eriophthalmum;Barranco de Guarimiar-Targa. Alajeró;28.06419444;-17.22619444;G;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero & J. Caujapé ;02/06/2014;LPA: 36955-58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10908-10913;Dorycnium ;eriophthalmum;Barranco del Zumacal. Breña Baja;28.64083333;-17.77388889;P;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero & J. Caujapé ;19/03/2012;LPA: 37008-37009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10212-10220;Dorycnium ;eriophthalmum;Don Pedro-Barranco Fagundo. Garafía;28.82583333;-17.88722222;P;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero & J. Caujapé ;20/03/2012;LPA: 36923. 36926-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10179-10185;Dorycnium ;eriophthalmum;Barranco de la Madera. Santa Cruz de La Palma;28.69583333;-17.78055556;P;CANARIAS;Á. Marrero. J. Caujapé. F. Medina & G. Hernández ;Á. Marrero. & J. Caujapé. F. Medina & G. Hernández ;19/03/2012;LPA: 37014-37016  37024-37025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10154-10164;Dorycnium ;eriophthalmum;Barranco de Gallegos. Barlovento;28.78722222;-17.83388889;P;CANARIAS;Á. Marrero.  J. Caujapé. F. Medina & G. Hernández;Á. Marrero.  J. Caujapé. F. Medina & G. Hernández;20/03/2012;LPA: 35741-35742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20161-20169;Dorycnium;eriophthalmum;Barranco de Las Angustias. P.N. Caldera de Taburiente. El Paso;28.79238333;-17.897075;P;CANARIAS;F. Medina. G. Hernández y Á. Rebolé;F. Medina. G. Hernández y Á. Rebolé;07/03/2017;LPA: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10956-10970;Dorycnium;eriophthalmum;Pie de Risco. Frontera;28.76222222;-17.98916667;H;CANARIAS;Á. Marrero & J. Caujapé ;Á. Marrero & J. Caujapé ;28/03/2012;LPA: 35801-35802. 35811-35812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
